flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,current_label,current_original_label,current_predicted_label,current_attack_probability,current_status,current_correct,transition,baseline_result,current_result,traffic_class,persistent_fn,baseline_fn_repaired,current_only_fn,persistent_fp,baseline_fp_repaired,current_only_fp
FLOW_097647,0,BENIGN,1,0.545,FP,False,0,BENIGN,0,0.45,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_140766,0,BENIGN,1,0.59,FP,False,0,BENIGN,0,0.485,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_140890,0,BENIGN,1,0.535,FP,False,0,BENIGN,0,0.46,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_236480,0,BENIGN,1,0.57,FP,False,0,BENIGN,0,0.475,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_251501,0,BENIGN,1,0.585,FP,False,0,BENIGN,0,0.495,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_228581,0,BENIGN,1,0.545,FP,False,0,BENIGN,0,0.47,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_314455,0,BENIGN,1,0.61,FP,False,0,BENIGN,0,0.365,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_320835,0,BENIGN,1,0.51,FP,False,0,BENIGN,0,0.44,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_335028,0,BENIGN,1,0.53,FP,False,0,BENIGN,0,0.49,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_335497,0,BENIGN,1,0.52,FP,False,0,BENIGN,0,0.42,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_405903,0,BENIGN,1,0.515,FP,False,0,BENIGN,0,0.335,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_419261,0,BENIGN,1,0.655,FP,False,0,BENIGN,0,0.46,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_429035,0,BENIGN,1,0.57,FP,False,0,BENIGN,0,0.455,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_429071,0,BENIGN,1,0.515,FP,False,0,BENIGN,0,0.45,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_465809,0,BENIGN,1,0.505,FP,False,0,BENIGN,0,0.415,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_469762,0,BENIGN,1,0.55,FP,False,0,BENIGN,0,0.445,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_474080,0,BENIGN,1,0.545,FP,False,0,BENIGN,0,0.455,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_479745,0,BENIGN,1,0.525,FP,False,0,BENIGN,0,0.485,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_485197,0,BENIGN,1,0.56,FP,False,0,BENIGN,0,0.44,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_487391,0,BENIGN,1,0.645,FP,False,0,BENIGN,0,0.495,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_506994,0,BENIGN,1,0.52,FP,False,0,BENIGN,0,0.485,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_523773,0,BENIGN,1,0.565,FP,False,0,BENIGN,0,0.43,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_525039,0,BENIGN,1,0.59,FP,False,0,BENIGN,0,0.475,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_530798,0,BENIGN,1,0.53,FP,False,0,BENIGN,0,0.485,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_530863,0,BENIGN,1,0.545,FP,False,0,BENIGN,0,0.435,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_530864,0,BENIGN,1,0.54,FP,False,0,BENIGN,0,0.39,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_530916,0,BENIGN,1,0.54,FP,False,0,BENIGN,0,0.495,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_540233,0,BENIGN,1,0.54,FP,False,0,BENIGN,0,0.49,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_568276,0,BENIGN,1,0.595,FP,False,0,BENIGN,0,0.5,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_570688,0,BENIGN,1,0.54,FP,False,0,BENIGN,0,0.415,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_608869,0,BENIGN,1,0.525,FP,False,0,BENIGN,0,0.45,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_625995,0,BENIGN,1,0.505,FP,False,0,BENIGN,0,0.44,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_626056,0,BENIGN,1,0.55,FP,False,0,BENIGN,0,0.495,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_629019,0,BENIGN,1,0.575,FP,False,0,BENIGN,0,0.48,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_653016,0,BENIGN,1,0.51,FP,False,0,BENIGN,0,0.465,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_683449,0,BENIGN,1,0.52,FP,False,0,BENIGN,0,0.47,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
FLOW_700990,0,BENIGN,1,0.53,FP,False,0,BENIGN,0,0.5,TN,True,FP -> TN,FP,TN,Benign,False,False,False,False,True,False
