flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,current_label,current_original_label,current_predicted_label,current_attack_probability,current_status,current_correct,transition,baseline_result,current_result,traffic_class,persistent_fn,baseline_fn_repaired,current_only_fn,persistent_fp,baseline_fp_repaired,current_only_fp
FLOW_098422,1,DoS slowloris,1,0.575,TP,True,1,DoS slowloris,0,0.38,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_166736,1,DoS Hulk,1,0.525,TP,True,1,DoS Hulk,0,0.45,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_171527,1,DoS Hulk,1,0.535,TP,True,1,DoS Hulk,0,0.465,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_173006,1,DoS Hulk,1,0.595,TP,True,1,DoS Hulk,0,0.49,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_196154,1,DoS Hulk,1,0.56,TP,True,1,DoS Hulk,0,0.49,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_292364,1,DoS Hulk,1,0.515,TP,True,1,DoS Hulk,0,0.485,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_292401,1,DoS Hulk,1,0.515,TP,True,1,DoS Hulk,0,0.485,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_303427,1,DoS Hulk,1,0.54,TP,True,1,DoS Hulk,0,0.49,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_312404,1,DoS Hulk,1,0.53,TP,True,1,DoS Hulk,0,0.5,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_315376,1,DoS Hulk,1,0.53,TP,True,1,DoS Hulk,0,0.465,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_371218,1,DoS Hulk,1,0.68,TP,True,1,DoS Hulk,0,0.5,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_377382,1,DoS Hulk,1,0.58,TP,True,1,DoS Hulk,0,0.455,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_423486,1,DoS Hulk,1,0.505,TP,True,1,DoS Hulk,0,0.475,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_435900,1,DoS Hulk,1,0.615,TP,True,1,DoS Hulk,0,0.49,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_488395,1,DoS Hulk,1,0.52,TP,True,1,DoS Hulk,0,0.36,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_504930,1,DoS Hulk,1,0.555,TP,True,1,DoS Hulk,0,0.43,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_629360,1,DoS Hulk,1,0.535,TP,True,1,DoS Hulk,0,0.485,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_639924,1,DoS Hulk,1,0.72,TP,True,1,DoS Hulk,0,0.49,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_645149,1,DoS Hulk,1,0.55,TP,True,1,DoS Hulk,0,0.435,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_645955,1,DoS Hulk,1,0.6,TP,True,1,DoS Hulk,0,0.495,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_651123,1,DoS Hulk,1,0.585,TP,True,1,DoS Hulk,0,0.48,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_678051,1,DoS Hulk,1,0.54,TP,True,1,DoS Hulk,0,0.46,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_700998,1,DoS GoldenEye,1,0.585,TP,True,1,DoS GoldenEye,0,0.495,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_709876,1,DoS GoldenEye,1,0.505,TP,True,1,DoS GoldenEye,0,0.455,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
FLOW_721331,1,DoS GoldenEye,1,0.565,TP,True,1,DoS GoldenEye,0,0.48,FN,False,TP -> FN,TP,FN,Attack,False,False,True,False,False,False
