flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,current_label,current_original_label,current_predicted_label,current_attack_probability,current_status,current_correct,transition,baseline_result,current_result,traffic_class,persistent_fn,baseline_fn_repaired,current_only_fn,persistent_fp,baseline_fp_repaired,current_only_fp
FLOW_019835,0,BENIGN,0,0.0,TN,True,0,BENIGN,1,1.0,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_019921,0,BENIGN,0,0.02,TN,True,0,BENIGN,1,0.55,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_032304,0,BENIGN,0,0.045,TN,True,0,BENIGN,1,0.515,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_032367,0,BENIGN,0,0.055,TN,True,0,BENIGN,1,0.615,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_067091,0,BENIGN,0,0.01,TN,True,0,BENIGN,1,0.99,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_078245,0,BENIGN,0,0.035,TN,True,0,BENIGN,1,0.86,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_081847,0,BENIGN,0,0.035,TN,True,0,BENIGN,1,0.505,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097665,0,BENIGN,0,0.42,TN,True,0,BENIGN,1,0.505,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097671,0,BENIGN,0,0.45,TN,True,0,BENIGN,1,0.71,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097690,0,BENIGN,0,0.49,TN,True,0,BENIGN,1,0.635,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097692,0,BENIGN,0,0.445,TN,True,0,BENIGN,1,0.66,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097697,0,BENIGN,0,0.41,TN,True,0,BENIGN,1,0.615,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097759,0,BENIGN,0,0.475,TN,True,0,BENIGN,1,0.63,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097760,0,BENIGN,0,0.38,TN,True,0,BENIGN,1,0.53,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097765,0,BENIGN,0,0.42,TN,True,0,BENIGN,1,0.505,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_097914,0,BENIGN,0,0.455,TN,True,0,BENIGN,1,0.72,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_098008,0,BENIGN,0,0.435,TN,True,0,BENIGN,1,0.55,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
FLOW_111122,0,BENIGN,0,0.01,TN,True,0,BENIGN,1,0.525,FP,False,TN -> FP,TN,FP,Benign,False,False,False,False,False,True
