flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,current_label,current_original_label,current_predicted_label,current_attack_probability,current_status,current_correct,transition,baseline_result,current_result,traffic_class,persistent_fn,baseline_fn_repaired,current_only_fn,persistent_fp,baseline_fp_repaired,current_only_fp
FLOW_064712,0,BENIGN,1,0.57,FP,False,0,BENIGN,1,0.71,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097585,0,BENIGN,1,0.56,FP,False,0,BENIGN,1,0.765,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097598,0,BENIGN,1,0.655,FP,False,0,BENIGN,1,0.915,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097782,0,BENIGN,1,0.665,FP,False,0,BENIGN,1,0.97,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097832,0,BENIGN,1,0.545,FP,False,0,BENIGN,1,0.52,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097929,0,BENIGN,1,0.8,FP,False,0,BENIGN,1,0.88,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097935,0,BENIGN,1,0.595,FP,False,0,BENIGN,1,0.78,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097937,0,BENIGN,1,0.65,FP,False,0,BENIGN,1,0.58,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_097961,0,BENIGN,1,0.795,FP,False,0,BENIGN,1,0.98,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_113424,0,BENIGN,1,0.995,FP,False,0,BENIGN,1,0.995,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_114865,0,BENIGN,1,0.995,FP,False,0,BENIGN,1,0.975,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_114892,0,BENIGN,1,0.935,FP,False,0,BENIGN,1,0.925,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_115836,0,BENIGN,1,0.925,FP,False,0,BENIGN,1,0.895,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_115936,0,BENIGN,1,0.92,FP,False,0,BENIGN,1,0.96,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_125473,0,BENIGN,1,0.85,FP,False,0,BENIGN,1,0.84,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_125588,0,BENIGN,1,0.935,FP,False,0,BENIGN,1,0.87,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_131201,0,BENIGN,1,0.785,FP,False,0,BENIGN,1,0.72,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_131205,0,BENIGN,1,0.97,FP,False,0,BENIGN,1,0.975,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_131254,0,BENIGN,1,0.985,FP,False,0,BENIGN,1,0.95,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_131271,0,BENIGN,1,0.95,FP,False,0,BENIGN,1,0.985,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_140578,0,BENIGN,1,0.625,FP,False,0,BENIGN,1,0.995,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_140717,0,BENIGN,1,0.635,FP,False,0,BENIGN,1,0.59,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_140891,0,BENIGN,1,0.62,FP,False,0,BENIGN,1,0.645,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_140839,0,BENIGN,1,0.675,FP,False,0,BENIGN,1,0.615,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_141095,0,BENIGN,1,0.545,FP,False,0,BENIGN,1,0.655,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_141127,0,BENIGN,1,0.775,FP,False,0,BENIGN,1,0.925,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_153568,0,BENIGN,1,0.595,FP,False,0,BENIGN,1,0.53,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_153641,0,BENIGN,1,0.905,FP,False,0,BENIGN,1,0.895,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154054,0,BENIGN,1,1.0,FP,False,0,BENIGN,1,1.0,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_153823,0,BENIGN,1,0.835,FP,False,0,BENIGN,1,0.82,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154329,0,BENIGN,1,0.995,FP,False,0,BENIGN,1,1.0,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154314,0,BENIGN,1,0.855,FP,False,0,BENIGN,1,0.865,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154956,0,BENIGN,1,1.0,FP,False,0,BENIGN,1,1.0,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154643,0,BENIGN,1,0.905,FP,False,0,BENIGN,1,0.84,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_155382,0,BENIGN,1,0.9999835526315788,FP,False,0,BENIGN,1,0.995,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154972,0,BENIGN,1,0.955,FP,False,0,BENIGN,1,0.925,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_155095,0,BENIGN,1,0.97,FP,False,0,BENIGN,1,0.955,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_154337,0,BENIGN,1,0.9,FP,False,0,BENIGN,1,0.855,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
FLOW_155667,0,BENIGN,1,1.0,FP,False,0,BENIGN,1,1.0,FP,False,FP -> FP,FP,FP,Benign,False,False,False,True,False,False
