flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,v1_label,v1_original_label,v1_predicted_label,v1_attack_probability,v1_status,v1_correct,v2_label,v2_original_label,v2_predicted_label,v2_attack_probability,v2_status,v2_correct,transition,baseline_result,v1_result,v2_result,traffic_class,persistent_fn,v1_repaired_v2_regressed_fn,v2_only_fn,fn_repaired_and_kept,persistent_fp,v1_repaired_v2_regressed_fp,v2_only_fp,fp_repaired_and_kept
FLOW_064773,1,DoS slowloris,0,0.375,FN,False,1,DoS slowloris,0,0.39,FN,False,1,DoS slowloris,0,0.33,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_066051,1,DoS slowloris,0,0.255,FN,False,1,DoS slowloris,0,0.17,FN,False,1,DoS slowloris,0,0.235,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097562,1,DoS slowloris,0,0.005,FN,False,1,DoS slowloris,0,0.005,FN,False,1,DoS slowloris,0,0.01,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097573,1,DoS slowloris,0,0.15,FN,False,1,DoS slowloris,0,0.135,FN,False,1,DoS slowloris,0,0.235,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097584,1,DoS slowloris,0,0.155,FN,False,1,DoS slowloris,0,0.125,FN,False,1,DoS slowloris,0,0.405,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097596,1,DoS slowloris,0,0.02,FN,False,1,DoS slowloris,0,0.04,FN,False,1,DoS slowloris,0,0.055,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097622,1,DoS slowloris,0,0.15,FN,False,1,DoS slowloris,0,0.105,FN,False,1,DoS slowloris,0,0.29,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097634,1,DoS slowloris,0,0.28,FN,False,1,DoS slowloris,0,0.29,FN,False,1,DoS slowloris,0,0.305,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097660,1,DoS slowloris,0,0.255,FN,False,1,DoS slowloris,0,0.19,FN,False,1,DoS slowloris,0,0.01,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097694,1,DoS slowloris,0,0.12,FN,False,1,DoS slowloris,0,0.045,FN,False,1,DoS slowloris,0,0.095,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097698,1,DoS slowloris,0,0.14,FN,False,1,DoS slowloris,0,0.07,FN,False,1,DoS slowloris,0,0.115,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097710,1,DoS slowloris,0,0.23,FN,False,1,DoS slowloris,0,0.14,FN,False,1,DoS slowloris,0,0.08,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097746,1,DoS slowloris,0,0.095,FN,False,1,DoS slowloris,0,0.07,FN,False,1,DoS slowloris,0,0.095,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097772,1,DoS slowloris,0,0.04,FN,False,1,DoS slowloris,0,0.015,FN,False,1,DoS slowloris,0,0.005,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097791,1,DoS slowloris,0,0.225,FN,False,1,DoS slowloris,0,0.125,FN,False,1,DoS slowloris,0,0.135,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097823,1,DoS slowloris,0,0.31,FN,False,1,DoS slowloris,0,0.3,FN,False,1,DoS slowloris,0,0.35,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097834,1,DoS slowloris,0,0.38,FN,False,1,DoS slowloris,0,0.27,FN,False,1,DoS slowloris,0,0.31,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097885,1,DoS slowloris,0,0.025,FN,False,1,DoS slowloris,0,0.03,FN,False,1,DoS slowloris,0,0.07,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097889,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.06,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097891,1,DoS slowloris,0,0.015,FN,False,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.015,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097894,1,DoS slowloris,0,0.015,FN,False,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.03,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097907,1,DoS slowloris,0,0.225,FN,False,1,DoS slowloris,0,0.155,FN,False,1,DoS slowloris,0,0.145,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097908,1,DoS slowloris,0,0.315,FN,False,1,DoS slowloris,0,0.22,FN,False,1,DoS slowloris,0,0.26,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097915,1,DoS slowloris,0,0.1,FN,False,1,DoS slowloris,0,0.06,FN,False,1,DoS slowloris,0,0.03,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097921,1,DoS slowloris,0,0.06,FN,False,1,DoS slowloris,0,0.015,FN,False,1,DoS slowloris,0,0.015,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097940,1,DoS slowloris,0,0.0,FN,False,1,DoS slowloris,0,0.0,FN,False,1,DoS slowloris,0,0.005,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_097966,1,DoS slowloris,0,0.02,FN,False,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.02,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_098014,1,DoS slowloris,0,0.005,FN,False,1,DoS slowloris,0,0.01,FN,False,1,DoS slowloris,0,0.0,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_098016,1,DoS slowloris,0,0.245,FN,False,1,DoS slowloris,0,0.185,FN,False,1,DoS slowloris,0,0.12,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_098120,1,DoS slowloris,0,0.46,FN,False,1,DoS slowloris,0,0.47,FN,False,1,DoS slowloris,0,0.38,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_110090,1,DoS Slowhttptest,0,0.35,FN,False,1,DoS Slowhttptest,0,0.27,FN,False,1,DoS Slowhttptest,0,0.055,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_121931,1,DoS Slowhttptest,0,0.35,FN,False,1,DoS Slowhttptest,0,0.26,FN,False,1,DoS Slowhttptest,0,0.05,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_125206,1,DoS Slowhttptest,0,0.43,FN,False,1,DoS Slowhttptest,0,0.385,FN,False,1,DoS Slowhttptest,0,0.44,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_125204,1,DoS Slowhttptest,0,0.405,FN,False,1,DoS Slowhttptest,0,0.415,FN,False,1,DoS Slowhttptest,0,0.455,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_140554,1,DoS Slowhttptest,0,0.125,FN,False,1,DoS Slowhttptest,0,0.045,FN,False,1,DoS Slowhttptest,0,0.12,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_164767,1,DoS Hulk,0,0.385,FN,False,1,DoS Hulk,0,0.345,FN,False,1,DoS Hulk,0,0.36,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_169529,1,DoS Hulk,0,0.39,FN,False,1,DoS Hulk,0,0.295,FN,False,1,DoS Hulk,0,0.115,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_171170,1,DoS Hulk,0,0.455,FN,False,1,DoS Hulk,0,0.325,FN,False,1,DoS Hulk,0,0.235,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_172893,1,DoS Hulk,0,0.495,FN,False,1,DoS Hulk,0,0.47,FN,False,1,DoS Hulk,0,0.3,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_172881,1,DoS Hulk,0,0.445,FN,False,1,DoS Hulk,0,0.42,FN,False,1,DoS Hulk,0,0.36,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_172950,1,DoS Hulk,0,0.395,FN,False,1,DoS Hulk,0,0.335,FN,False,1,DoS Hulk,0,0.27,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
FLOW_177705,1,DoS Hulk,0,0.44,FN,False,1,DoS Hulk,0,0.345,FN,False,1,DoS Hulk,0,0.22,FN,False,FN -> FN -> FN,FN,FN,FN,Attack,True,False,False,False,False,False,False,False
