traffic_class,transition,count,percentage_within_class
Attack,TP -> TP -> TP,106177,99.75666128001805
Attack,FN -> FN -> FN,135,0.12683678454658198
Attack,TP -> TP -> FN,71,0.0667067533541283
Attack,TP -> FN -> FN,25,0.023488293434552217
Attack,TP -> FN -> TP,13,0.012213912585967154
Attack,FN -> FN -> TP,7,0.006576722161674622
Attack,FN -> TP -> TP,5,0.004697658686910444
Attack,FN -> TP -> FN,3,0.0028185952121462664
Benign,TN -> TN -> TN,106750,99.00852354408778
Benign,FP -> FP -> FP,930,0.8625566922342074
Benign,FP -> FP -> TN,45,0.04173661414036487
Benign,FP -> TN -> TN,30,0.02782440942690991
Benign,TN -> FP -> FP,22,0.02040456691306727
Benign,TN -> FP -> TN,19,0.017622125970376278
Benign,TN -> TN -> FP,12,0.011129763770763966
Benign,FP -> TN -> FP,11,0.010202283456533635
