flow_id,baseline_label,baseline_original_label,baseline_predicted_label,baseline_attack_probability,baseline_status,baseline_correct,v1_label,v1_original_label,v1_predicted_label,v1_attack_probability,v1_status,v1_correct,v2_label,v2_original_label,v2_predicted_label,v2_attack_probability,v2_status,v2_correct,transition,baseline_result,v1_result,v2_result,traffic_class,persistent_fn,v1_repaired_v2_regressed_fn,v2_only_fn,fn_repaired_and_kept,persistent_fp,v1_repaired_v2_regressed_fp,v2_only_fp,fp_repaired_and_kept
FLOW_098422,1,DoS slowloris,1,0.575,TP,True,1,DoS slowloris,1,0.615,TP,True,1,DoS slowloris,0,0.375,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_159319,1,DoS Hulk,1,0.635,TP,True,1,DoS Hulk,1,0.565,TP,True,1,DoS Hulk,0,0.5,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_173355,1,DoS Hulk,1,0.615,TP,True,1,DoS Hulk,1,0.52,TP,True,1,DoS Hulk,0,0.265,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_174344,1,DoS Hulk,1,0.785,TP,True,1,DoS Hulk,1,0.67,TP,True,1,DoS Hulk,0,0.5,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_189184,1,DoS Hulk,1,0.68,TP,True,1,DoS Hulk,1,0.62,TP,True,1,DoS Hulk,0,0.42,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_190393,1,DoS Hulk,1,0.64,TP,True,1,DoS Hulk,1,0.6,TP,True,1,DoS Hulk,0,0.45,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_202829,1,DoS Hulk,1,0.575,TP,True,1,DoS Hulk,1,0.51,TP,True,1,DoS Hulk,0,0.405,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_204091,1,DoS Hulk,1,0.67,TP,True,1,DoS Hulk,1,0.57,TP,True,1,DoS Hulk,0,0.445,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_204319,1,DoS Hulk,1,0.555,TP,True,1,DoS Hulk,1,0.535,TP,True,1,DoS Hulk,0,0.4,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_240533,1,DoS Hulk,1,0.625,TP,True,1,DoS Hulk,1,0.535,TP,True,1,DoS Hulk,0,0.4,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_266467,1,DoS Hulk,1,0.685,TP,True,1,DoS Hulk,1,0.585,TP,True,1,DoS Hulk,0,0.475,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_267885,1,DoS Hulk,1,0.635,TP,True,1,DoS Hulk,1,0.62,TP,True,1,DoS Hulk,0,0.485,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_267955,1,DoS Hulk,1,0.74,TP,True,1,DoS Hulk,1,0.645,TP,True,1,DoS Hulk,0,0.445,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_274413,1,DoS Hulk,1,0.67,TP,True,1,DoS Hulk,1,0.62,TP,True,1,DoS Hulk,0,0.45,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_282077,1,DoS Hulk,1,0.64,TP,True,1,DoS Hulk,1,0.525,TP,True,1,DoS Hulk,0,0.46,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
FLOW_285516,1,DoS Hulk,1,0.57,TP,True,1,DoS Hulk,1,0.56,TP,True,1,DoS Hulk,0,0.48,FN,False,TP -> TP -> FN,TP,TP,FN,Attack,False,False,True,False,False,False,False,False
