group,port_type,port,count,percentage
Persistent FN,src_port,80,41,32.28346456692913
Persistent FN,src_port,35970,2,1.574803149606299
Persistent FN,src_port,43600,2,1.574803149606299
Persistent FN,src_port,54580,1,0.7874015748031495
Persistent FN,src_port,54210,1,0.7874015748031495
Persistent FN,src_port,54218,1,0.7874015748031495
Persistent FN,src_port,54264,1,0.7874015748031495
Persistent FN,src_port,54236,1,0.7874015748031495
Persistent FN,src_port,54310,1,0.7874015748031495
Persistent FN,src_port,54356,1,0.7874015748031495
Persistent FN,src_port,54004,1,0.7874015748031495
Persistent FN,src_port,53990,1,0.7874015748031495
Persistent FN,src_port,53966,1,0.7874015748031495
Persistent FN,src_port,53948,1,0.7874015748031495
Persistent FN,src_port,53954,1,0.7874015748031495
Persistent FN,src_port,54000,1,0.7874015748031495
Persistent FN,src_port,53872,1,0.7874015748031495
Persistent FN,src_port,53866,1,0.7874015748031495
Persistent FN,src_port,35400,1,0.7874015748031495
Persistent FN,src_port,37580,1,0.7874015748031495
Persistent FN,dst_port,80,86,67.71653543307087
Persistent FN,dst_port,53688,1,0.7874015748031495
Persistent FN,dst_port,54210,1,0.7874015748031495
Persistent FN,dst_port,54230,1,0.7874015748031495
Persistent FN,dst_port,54282,1,0.7874015748031495
Persistent FN,dst_port,53878,1,0.7874015748031495
Persistent FN,dst_port,54364,1,0.7874015748031495
Persistent FN,dst_port,54390,1,0.7874015748031495
Persistent FN,dst_port,54008,1,0.7874015748031495
Persistent FN,dst_port,53934,1,0.7874015748031495
Persistent FN,dst_port,53922,1,0.7874015748031495
Persistent FN,dst_port,53890,1,0.7874015748031495
Persistent FN,dst_port,53884,1,0.7874015748031495
Persistent FN,dst_port,53834,1,0.7874015748031495
Persistent FN,dst_port,53824,1,0.7874015748031495
Persistent FN,dst_port,33230,1,0.7874015748031495
Persistent FN,dst_port,35418,1,0.7874015748031495
Persistent FN,dst_port,35594,1,0.7874015748031495
Persistent FN,dst_port,35586,1,0.7874015748031495
Persistent FN,dst_port,35638,1,0.7874015748031495
Baseline FN Repaired,src_port,80,11,47.82608695652174
Baseline FN Repaired,src_port,53918,1,4.3478260869565215
Baseline FN Repaired,src_port,32816,1,4.3478260869565215
Baseline FN Repaired,src_port,53038,1,4.3478260869565215
Baseline FN Repaired,src_port,55592,1,4.3478260869565215
Baseline FN Repaired,src_port,57348,1,4.3478260869565215
Baseline FN Repaired,src_port,34962,1,4.3478260869565215
