group,probability,count,mean,median,std,min,max,near_threshold_count,near_threshold_percentage
Persistent FN,baseline_attack_probability,127,0.30751968503937,0.35,0.145091437387085,0.0,0.5,23,18.11023622047244
Persistent FN,current_attack_probability,127,0.2903937007874017,0.325,0.1411072723941776,0.0,0.495,22,17.322834645669293
Baseline FN Repaired,baseline_attack_probability,23,0.4623913043478261,0.47,0.03939403964013138,0.345,0.5,17,73.91304347826086
Baseline FN Repaired,current_attack_probability,23,0.6136956521739131,0.61,0.08448330670334342,0.505,0.795,9,39.130434782608695
Current-only FN,baseline_attack_probability,25,0.5624,0.55,0.05079606283955479,0.505,0.72,13,52.0
Current-only FN,current_attack_probability,25,0.4673999999999999,0.48,0.03452882853500825,0.36,0.5,21,84.0
Persistent FP,baseline_attack_probability,979,0.8965576491395163,0.974954954954955,0.1355976029675009,0.515,1.0,13,1.3278855975485189
Persistent FP,current_attack_probability,979,0.8886004878957953,0.97,0.1448027301439141,0.505,1.0,33,3.3707865168539324
Baseline FP Repaired,baseline_attack_probability,37,0.549864864864865,0.54,0.03580137560558264,0.505,0.655,25,67.56756756756756
Baseline FP Repaired,current_attack_probability,37,0.4563513513513514,0.46,0.037301703617508467,0.335,0.5,25,67.56756756756756
Current-only FP,baseline_attack_probability,60,0.17141666666666663,0.035,0.20383835848261947,0.0,0.5,10,16.666666666666664
Current-only FP,current_attack_probability,60,0.7114999999999999,0.6425000000000001,0.1915991910212567,0.505,1.0,23,38.333333333333336
