group,original_label,count,percentage
Persistent FN,DoS Hulk,98,72.5925925925926
Persistent FN,DoS slowloris,30,22.22222222222222
Persistent FN,DoS Slowhttptest,5,3.7037037037037033
Persistent FN,DoS GoldenEye,2,1.4814814814814816
V2-only FN,DoS Hulk,62,87.32394366197182
V2-only FN,DoS GoldenEye,8,11.267605633802818
V2-only FN,DoS slowloris,1,1.4084507042253522
Persistent FP,BENIGN,930,100.0
V2-only FP,BENIGN,12,100.0
All Attack,DoS Hulk,101258,95.13510466383555
All Attack,DoS GoldenEye,2958,2.7791348791762185
All Attack,DoS Slowhttptest,1186,1.1142846405351574
All Attack,DoS slowloris,1034,0.9714758164530798
All Benign,BENIGN,107819,100.0
