flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,label,original_label,predicted_label,attack_probability,prediction_type,correct_prediction
FLOW_064773,1499258927.064326,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.33,FN,False
FLOW_066051,1499258961.518776,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.235,FN,False
FLOW_097562,1499260211.740553,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.01,FN,False
FLOW_097573,1499260211.740964,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.235,FN,False
FLOW_097584,1499260211.741407,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.405,FN,False
FLOW_097596,1499260211.741899,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.055,FN,False
FLOW_097622,1499260211.742882,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.29,FN,False
FLOW_097634,1499260211.743283,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.305,FN,False
FLOW_097660,1499260211.743594,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.01,FN,False
FLOW_097694,1499260211.744475,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.095,FN,False
FLOW_097698,1499260211.744481,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.115,FN,False
FLOW_097710,1499260211.744512,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.08,FN,False
FLOW_097746,1499260211.745489,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.095,FN,False
FLOW_097772,1499260211.745545,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.005,FN,False
FLOW_097791,1499260211.746018,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.135,FN,False
FLOW_097823,1499260211.746873,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.35,FN,False
FLOW_097834,1499260211.747474,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.31,FN,False
FLOW_097885,1499260211.748508,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.07,FN,False
FLOW_097889,1499260211.748522,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.06,FN,False
FLOW_097891,1499260211.748543,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.015,FN,False
FLOW_097894,1499260211.748738,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.03,FN,False
FLOW_097907,1499260211.749493,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.145,FN,False
FLOW_097908,1499260211.749499,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.26,FN,False
FLOW_097915,1499260211.749524,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.03,FN,False
FLOW_097921,1499260211.749541,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,DoS slowloris,0,0.015,FN,False
FLOW_097940,1499260211.750395,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,DoS slowloris,0,0.005,FN,False
