flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,label,original_label,predicted_label,attack_probability,prediction_type,correct_prediction
FLOW_019835,1499256211.039114,192.168.10.12,195.154.148.3,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,BENIGN,1,0.97,FP,False
FLOW_064712,1499258926.783112,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.7,FP,False
FLOW_067091,1499258985.624615,192.168.10.51,173.241.242.143,b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,0,BENIGN,1,0.715,FP,False
FLOW_078245,1499259443.564418,192.168.10.12,50.63.243.230,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,BENIGN,1,0.82,FP,False
FLOW_097585,1499260211.741455,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.79,FP,False
FLOW_097598,1499260211.742017,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.88,FP,False
FLOW_097614,1499260211.742616,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.56,FP,False
FLOW_097671,1499260211.743888,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.755,FP,False
FLOW_097690,1499260211.744386,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.665,FP,False
FLOW_097692,1499260211.744439,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.61,FP,False
FLOW_097759,1499260211.745537,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.535,FP,False
FLOW_097782,1499260211.745552,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.955,FP,False
FLOW_097914,1499260211.749523,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.715,FP,False
FLOW_097929,1499260211.749741,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.84,FP,False
FLOW_097935,1499260211.750045,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.66,FP,False
FLOW_097937,1499260211.750243,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.67,FP,False
FLOW_097961,1499260211.75053,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.99,FP,False
FLOW_098008,1499260211.752108,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.52,FP,False
FLOW_113424,1499260681.100831,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,1.0,FP,False
FLOW_114865,1499260747.08417,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.98,FP,False
FLOW_114892,1499260750.092166,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.9,FP,False
FLOW_115836,1499260779.141017,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.9,FP,False
FLOW_115936,1499260781.471352,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.945,FP,False
FLOW_117142,1499260830.217497,192.168.10.51,72.167.239.239,b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,0,BENIGN,1,0.595,FP,False
FLOW_125473,1499261157.841056,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.755,FP,False
FLOW_125588,1499261158.42723,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.86,FP,False
FLOW_131201,1499261340.101583,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.64,FP,False
FLOW_131205,1499261341.189721,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.985,FP,False
FLOW_131254,1499261347.205509,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.975,FP,False
FLOW_131271,1499261350.181661,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.985,FP,False
FLOW_140578,1499261701.409283,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.965,FP,False
FLOW_140717,1499261719.256899,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.535,FP,False
FLOW_140891,1499261719.297566,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.56,FP,False
FLOW_140839,1499261719.297343,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.55,FP,False
FLOW_141095,1499261720.645049,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.535,FP,False
FLOW_141127,1499261722.179786,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.855,FP,False
FLOW_153641,1499262203.23929,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.87,FP,False
FLOW_154054,1499262203.341252,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,1.0,FP,False
FLOW_153823,1499262203.282269,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.73,FP,False
FLOW_154329,1499262203.411244,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,1.0,FP,False
FLOW_154314,1499262203.407228,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.78,FP,False
FLOW_154956,1499262203.570234,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,1.0,FP,False
FLOW_154643,1499262203.493244,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.79,FP,False
FLOW_155382,1499262203.70022,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.99,FP,False
FLOW_154972,1499262203.574237,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.915,FP,False
FLOW_155095,1499262203.608237,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.94,FP,False
FLOW_154337,1499262203.414248,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,BENIGN,1,0.835,FP,False
FLOW_155667,1499262203.801249,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,1.0,FP,False
FLOW_155696,1499262203.810229,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,BENIGN,1,0.585,FP,False
