feature,accuracy_drop_mean,accuracy_drop_std,balanced_accuracy_drop_mean,balanced_accuracy_drop_std,f1_drop_mean,f1_drop_std,recall_drop_mean,recall_drop_std,auc_drop_mean,auc_drop_std
dst_port,0.1104066666666667,0.001628932847671212,0.1109853380470609,0.0016380372992841222,0.12003900302545278,0.0019217655911318613,0.18479546309734987,0.002814499902072418,0.031099116859210556,0.0005464834850968566
src_port,0.060960000000000014,0.0002628053779257171,0.061418390584894955,0.00026532423871720827,0.06531950687601744,0.00030445722369009764,0.1198865774337472,0.0006196388691823167,0.003992276854358878,7.76146175488626e-05
rst_count,0.03254666666666665,0.00035036488915920995,0.03276590090909226,0.00035076194810932477,0.033765890182012,0.000363901435365535,0.060729452238886185,0.00044934294192601064,0.0028989829877286897,0.00016890277892999653
ttl_mean,0.011573333333333324,0.00020286832072936623,0.011484872324568332,0.00020284644758245747,0.011430580813698632,0.0002013302123886613,0.00020158039025959992,0.00020023201131200464,0.0026164157528974683,0.00010045602049453009
ip_id_mean,0.002586666666666663,0.00011115554667019399,0.002571144703618559,0.00011109028797098244,0.002581604075185447,0.00011132187541756786,0.0005913024780949128,0.00014843521229351977,0.0022848023034111784,0.00010807776114471274
tcp_header_length_mean,0.07230666666666667,0.00039203174474640397,0.07289141151434357,0.0003947526928474167,0.07885433922613978,0.00045674717951495013,0.14747621351394932,0.0007419326851498289,0.0018165100528802307,3.323929369991266e-05
tcp_window_mean,0.03457999999999998,0.0006480740698407661,0.03486663056503433,0.0006530499426609122,0.036234009543537615,0.0007028327579861733,0.07142665161533084,0.0012877325302255297,0.0018094632197424392,1.571443077092763e-05
ack_count,0.0011533333333333395,0.00013888444437333496,0.0011707055581196002,0.00013878929238637474,0.0011722910322365572,0.0001396968939030874,0.0033865505563618705,0.00021585736714788476,0.0012009234154782094,6.561988653629352e-05
iat_max,-8.666666666667933e-05,5.7348835113631846e-05,-8.452892895464507e-05,5.7546804162404744e-05,-8.560694874570896e-05,5.772881333907412e-05,0.00018814169757563892,8.28416653626539e-05,0.000997712258315871,0.00013968331649438055
frame_length_mean,9.333333333335266e-05,4.9888765156996215e-05,9.57434849307252e-05,5.0003683158105974e-05,9.536166686718861e-05,5.018593507776154e-05,0.0004031607805192368,6.58358797716009e-05,0.0008588650573227626,0.00016988034502683758
