flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,attack_evasion,original_dst_port,original_src_port,scenario
FLOW_342788,1499262572.202826,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.065,True,True,80,51572,both_ports_randomized
FLOW_361201,1499262605.456881,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.075,True,True,80,35648,both_ports_randomized
FLOW_479051,1499262839.200216,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.19,True,True,80,45262,both_ports_randomized
FLOW_651970,1499263174.282763,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.22,True,True,80,37148,both_ports_randomized
FLOW_251349,1499262389.010997,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.115,True,True,80,53886,both_ports_randomized
FLOW_513450,1499262906.509663,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.5,True,True,40678,80,both_ports_randomized
FLOW_095511,1499260058.148996,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.435,True,True,80,60756,both_ports_randomized
FLOW_581840,1499263040.133581,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.21,True,True,80,53010,both_ports_randomized
FLOW_608794,1499263090.694145,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.045,True,True,80,40466,both_ports_randomized
FLOW_176590,1499262238.921193,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.065,True,True,80,37290,both_ports_randomized
FLOW_297987,1499262487.467165,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,53922,both_ports_randomized
FLOW_159118,1499262204.928196,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.345,True,True,80,54658,both_ports_randomized
FLOW_525099,1499262938.577412,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.91,0,0.21,True,True,80,48750,both_ports_randomized
FLOW_511241,1499262905.606377,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.285,True,True,80,37212,both_ports_randomized
FLOW_668272,1499263206.861888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.06,True,True,80,46446,both_ports_randomized
FLOW_371028,1499262636.236248,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.075,True,True,80,42208,both_ports_randomized
FLOW_635327,1499263140.783713,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.335,True,True,80,55748,both_ports_randomized
FLOW_427844,1499262739.229089,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,43122,both_ports_randomized
FLOW_370394,1499262635.991565,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.49,True,True,41836,80,both_ports_randomized
FLOW_530286,1499262940.597418,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,0,0.32,True,True,80,51474,both_ports_randomized
FLOW_360947,1499262605.361888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.17,True,True,80,35468,both_ports_randomized
FLOW_552876,1499262988.974008,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.12,True,True,80,36952,both_ports_randomized
FLOW_417105,1499262721.73557,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.115,True,True,80,38590,both_ports_randomized
FLOW_177641,1499262239.97753,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.96,0,0.115,True,True,37686,80,both_ports_randomized
FLOW_155992,1499262203.91023,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.325,True,True,80,51296,both_ports_randomized
FLOW_119078,1499260940.079806,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.275,True,True,80,36002,both_ports_randomized
FLOW_394395,1499262672.179985,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.29,True,True,80,56022,both_ports_randomized
FLOW_567866,1499263021.71313,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.07,True,True,80,45564,both_ports_randomized
FLOW_396859,1499262687.169719,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.36,True,True,57832,80,both_ports_randomized
FLOW_608598,1499263090.630146,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.985,0,0.33,True,True,80,40380,both_ports_randomized
FLOW_664512,1499263205.661944,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.425,True,True,44672,80,both_ports_randomized
