flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,attack_evasion,original_dst_port,original_src_port,scenario
FLOW_342788,1499262572.202826,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.065,True,True,80,51572,dst_port_randomized
FLOW_361201,1499262605.456881,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.055,True,True,80,35648,dst_port_randomized
FLOW_479051,1499262839.200216,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.21,True,True,80,45262,dst_port_randomized
FLOW_651970,1499263174.282763,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.285,True,True,80,37148,dst_port_randomized
FLOW_251349,1499262389.010997,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.08,True,True,80,53886,dst_port_randomized
FLOW_095511,1499260058.148996,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.44,True,True,80,60756,dst_port_randomized
FLOW_581840,1499263040.133581,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,53010,dst_port_randomized
FLOW_608794,1499263090.694145,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.035,True,True,80,40466,dst_port_randomized
FLOW_176590,1499262238.921193,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.035,True,True,80,37290,dst_port_randomized
FLOW_297987,1499262487.467165,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,53922,dst_port_randomized
FLOW_159118,1499262204.928196,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.33,True,True,80,54658,dst_port_randomized
FLOW_525099,1499262938.577412,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.91,0,0.195,True,True,80,48750,dst_port_randomized
FLOW_511241,1499262905.606377,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.34,True,True,80,37212,dst_port_randomized
FLOW_668272,1499263206.861888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.04,True,True,80,46446,dst_port_randomized
FLOW_371028,1499262636.236248,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.03,True,True,80,42208,dst_port_randomized
FLOW_635327,1499263140.783713,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.33,True,True,80,55748,dst_port_randomized
FLOW_427844,1499262739.229089,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,43122,dst_port_randomized
FLOW_530286,1499262940.597418,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,0,0.33,True,True,80,51474,dst_port_randomized
FLOW_360947,1499262605.361888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,35468,dst_port_randomized
FLOW_552876,1499262988.974008,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.04,True,True,80,36952,dst_port_randomized
FLOW_417105,1499262721.73557,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.22,True,True,80,38590,dst_port_randomized
FLOW_155992,1499262203.91023,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.33,True,True,80,51296,dst_port_randomized
FLOW_119078,1499260940.079806,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.3,True,True,80,36002,dst_port_randomized
FLOW_394395,1499262672.179985,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.275,True,True,80,56022,dst_port_randomized
FLOW_567866,1499263021.71313,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.025,True,True,80,45564,dst_port_randomized
FLOW_608598,1499263090.630146,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.985,0,0.325,True,True,80,40380,dst_port_randomized
FLOW_407890,1499262704.693076,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.205,True,True,80,36042,dst_port_randomized
FLOW_381443,1499262653.846506,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,0,0.045,True,True,80,48024,dst_port_randomized
FLOW_244468,1499262372.187461,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,0,0.315,True,True,80,49942,dst_port_randomized
FLOW_259233,1499262405.054552,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.285,True,True,80,55500,dst_port_randomized
FLOW_610890,1499263104.834756,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.04,True,True,80,42156,dst_port_randomized
FLOW_303187,1499262489.262164,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.16,True,True,80,56552,dst_port_randomized
FLOW_720285,1499264357.881171,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.215,True,True,80,44476,dst_port_randomized
FLOW_507557,1499262904.474413,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.04,True,True,80,38636,dst_port_randomized
FLOW_435073,1499262755.727618,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.985,0,0.055,True,True,80,52386,dst_port_randomized
FLOW_263833,1499262420.048075,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.095,True,True,80,33466,dst_port_randomized
FLOW_326008,1499262538.414782,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.335,True,True,80,42960,dst_port_randomized
FLOW_314980,1499262521.181266,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.345,True,True,80,36180,dst_port_randomized
FLOW_239992,1499262370.766502,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.96,0,0.12,True,True,80,47484,dst_port_randomized
