flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,attack_evasion,original_dst_port,original_src_port,scenario
FLOW_342788,1499262572.202826,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,51572,ports_masked
FLOW_361201,1499262605.456881,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.995,False,False,80,35648,ports_masked
FLOW_198768,1499262287.812827,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.99,1,0.995,False,False,80,50968,ports_masked
FLOW_479051,1499262839.200216,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,45262,ports_masked
FLOW_651970,1499263174.282763,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,37148,ports_masked
FLOW_472790,1499262836.895334,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.96,1,0.96,False,False,80,46554,ports_masked
FLOW_251349,1499262389.010997,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.995,False,False,80,53886,ports_masked
FLOW_522812,1499262937.783481,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.97,1,0.94,False,False,80,47154,ports_masked
FLOW_549419,1499262987.929052,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,1,0.995,False,False,80,35302,ports_masked
FLOW_513450,1499262906.509663,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,1,0.635,False,False,40678,80,ports_masked
FLOW_095511,1499260058.148996,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.94,False,False,80,60756,ports_masked
FLOW_581840,1499263040.133581,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,53010,ports_masked
FLOW_608794,1499263090.694145,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,40466,ports_masked
FLOW_176590,1499262238.921193,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,37290,ports_masked
FLOW_297987,1499262487.467165,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,53922,ports_masked
FLOW_159118,1499262204.928196,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.995,False,False,80,54658,ports_masked
FLOW_525099,1499262938.577412,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.91,1,0.99,False,False,80,48750,ports_masked
FLOW_284404,1499262455.017217,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,1,0.59,False,False,45650,80,ports_masked
FLOW_658623,1499263189.982309,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.98,1,0.98,False,False,80,41356,ports_masked
FLOW_511241,1499262905.606377,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.995,False,False,80,37212,ports_masked
FLOW_603798,1499263089.058194,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.99,1,0.995,False,False,80,36362,ports_masked
FLOW_668272,1499263206.861888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,46446,ports_masked
FLOW_371028,1499262636.236248,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,42208,ports_masked
FLOW_635327,1499263140.783713,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,55748,ports_masked
FLOW_173860,1499262238.009267,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,35982,ports_masked
FLOW_427844,1499262739.229089,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,43122,ports_masked
FLOW_370394,1499262635.991565,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,1,0.645,False,False,41836,80,ports_masked
FLOW_530286,1499262940.597418,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,1,0.995,False,False,80,51474,ports_masked
FLOW_274292,1499262438.045613,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,1,1.0,False,False,80,39802,ports_masked
FLOW_360947,1499262605.361888,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,35468,ports_masked
FLOW_552876,1499262988.974008,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,36952,ports_masked
FLOW_417105,1499262721.73557,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.99,False,False,80,38590,ports_masked
FLOW_177641,1499262239.97753,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.96,0,0.235,True,True,37686,80,ports_masked
FLOW_444972,1499262786.526097,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.995,False,False,80,59064,ports_masked
FLOW_155992,1499262203.91023,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,51296,ports_masked
FLOW_119078,1499260940.079806,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.94,False,False,80,36002,ports_masked
FLOW_394395,1499262672.179985,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,56022,ports_masked
FLOW_567866,1499263021.71313,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,45564,ports_masked
FLOW_396859,1499262687.169719,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,1,0.59,False,False,57832,80,ports_masked
FLOW_608598,1499263090.630146,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.985,1,0.99,False,False,80,40380,ports_masked
