flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,attack_evasion,original_dst_port,original_src_port,scenario
FLOW_177641,1499262239.97753,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.96,0,0.235,True,True,37686,80,ports_masked
FLOW_378448,1499262639.24969,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.985,0,0.235,True,True,45944,80,ports_masked
FLOW_378422,1499262639.185752,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.485,True,True,45814,80,ports_masked
FLOW_355173,1499262603.581709,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.235,True,True,60668,80,ports_masked
FLOW_211874,1499262320.133597,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.995,0,0.245,True,True,59096,80,ports_masked
FLOW_514373,1499262920.489898,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.855,0,0.24,True,True,42902,80,ports_masked
FLOW_228493,1499262339.465609,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.235,True,True,39572,80,ports_masked
FLOW_125286,1499261157.749327,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.885,0,0.42,True,True,36842,80,ports_masked
FLOW_370325,1499262635.953751,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.97,0,0.245,True,True,41780,80,ports_masked
FLOW_220602,1499262336.409575,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.9,0,0.415,True,True,35724,80,ports_masked
FLOW_643524,1499263156.98527,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.955,0,0.5,True,True,80,58642,ports_masked
FLOW_371470,1499262636.377748,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.245,True,True,42438,80,ports_masked
FLOW_362575,1499262620.285706,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.675,0,0.445,True,True,36950,80,ports_masked
FLOW_360079,1499262605.074899,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.975,0,0.45,True,True,34940,80,ports_masked
FLOW_653623,1499263188.477906,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.245,True,True,38570,80,ports_masked
FLOW_169280,1499262223.737519,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.965,0,0.245,True,True,57350,80,ports_masked
FLOW_278456,1499262440.781587,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.99,0,0.23,True,True,39278,80,ports_masked
FLOW_394750,1499262672.805767,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.955,0,0.465,True,True,55582,80,ports_masked
FLOW_661773,1499263191.609904,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.935,0,0.47,True,True,42280,80,ports_masked
FLOW_371231,1499262636.305754,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.23,True,True,42304,80,ports_masked
FLOW_595165,1499263071.637869,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.97,0,0.39,True,True,32836,80,ports_masked
FLOW_228251,1499262339.021559,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.245,True,True,38748,80,ports_masked
FLOW_210746,1499262306.349589,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.885,0,0.23,True,True,56576,80,ports_masked
FLOW_221001,1499262336.537612,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.995,0,0.245,True,True,35980,80,ports_masked
FLOW_370602,1499262636.097713,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.23,True,True,41932,80,ports_masked
FLOW_370835,1499262636.173736,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.235,True,True,42060,80,ports_masked
FLOW_652824,1499263174.761889,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.995,0,0.235,True,True,36578,80,ports_masked
FLOW_202622,1499262289.349547,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.945,0,0.235,True,True,51926,80,ports_masked
FLOW_311453,1499262505.737628,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,0.995,0,0.245,True,True,33004,80,ports_masked
