flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,benign_induction,original_dst_port,original_src_port,scenario
FLOW_790628,1499270340.188403,192.168.10.3,192.168.10.17,18:66:da:9b:e3:7d,00:23:ae:9b:95:67,0,0,0.0,1,0.82,True,True,33202,389,ports_masked
FLOW_348754,1499262587.654376,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.405,1,0.99,True,True,80,54184,ports_masked
FLOW_881021,1499275520.189543,54.210.114.48,192.168.10.12,00:c1:b1:14:eb:31,b8:ac:6f:36:04:e3,0,0,0.0,1,0.795,True,True,52242,443,ports_masked
FLOW_1034254,1499282605.341635,74.125.29.108,192.168.10.8,00:c1:b1:14:eb:31,b8:ac:6f:36:08:f5,0,0,0.0,1,0.75,True,True,61479,465,ports_masked
FLOW_710879,1499264054.014076,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.915,True,True,49505,443,ports_masked
FLOW_055181,1499258400.092815,192.168.10.25,23.194.140.219,00:25:00:a8:c4:60,00:c1:b1:14:eb:31,0,0,0.0,1,0.61,True,True,443,50126,ports_masked
FLOW_378670,1499262645.512413,192.168.10.25,31.13.80.12,00:25:00:a8:c4:60,00:c1:b1:14:eb:31,0,0,0.0,1,0.735,True,True,443,50795,ports_masked
FLOW_629019,1499263138.715809,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.48,1,0.995,True,True,80,50928,ports_masked
FLOW_076365,1499259395.844105,172.217.11.33,192.168.10.16,00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,0,0,0.0,1,0.55,True,True,52824,443,ports_masked
FLOW_144421,1499261843.195639,192.168.10.12,209.15.36.34,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.005,1,0.635,True,True,443,48286,ports_masked
FLOW_833317,1499273136.633965,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,52293,443,ports_masked
FLOW_994344,1499279646.90625,192.168.10.17,104.88.42.42,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.585,True,True,443,41505,ports_masked
FLOW_1025556,1499282039.942777,192.168.10.12,104.79.143.90,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.725,True,True,443,45068,ports_masked
FLOW_792124,1499270636.446446,192.168.10.17,35.164.147.83,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.735,True,True,443,52905,ports_masked
FLOW_994462,1499279646.915253,192.168.10.17,23.23.147.94,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.76,True,True,443,40999,ports_masked
FLOW_990457,1499279442.232148,37.209.240.1,192.168.10.19,00:c1:b1:14:eb:31,00:23:ae:9b:ad:b3,0,0,0.0,1,0.53,True,True,48921,443,ports_masked
FLOW_904281,1499276216.354531,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,53245,443,ports_masked
FLOW_731152,1499264966.845067,192.168.10.17,35.165.206.251,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.745,True,True,443,44833,ports_masked
FLOW_1026671,1499282108.572282,192.168.10.12,104.97.117.153,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.605,True,True,443,33708,ports_masked
FLOW_1002234,1499280355.326389,192.168.10.12,31.13.80.12,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.755,True,True,443,47172,ports_masked
FLOW_984795,1499279174.929094,192.168.10.19,151.101.0.222,00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,0,0,0.0,1,0.75,True,True,443,60045,ports_masked
FLOW_1065988,1499284638.134463,192.168.10.25,176.34.231.11,00:25:00:a8:c4:60,00:c1:b1:14:eb:31,0,0,0.0,1,0.77,True,True,443,53959,ports_masked
FLOW_058730,1499258591.511385,31.13.69.193,192.168.10.8,00:c1:b1:14:eb:31,b8:ac:6f:36:08:f5,0,0,0.0,1,0.88,True,True,50750,443,ports_masked
FLOW_952460,1499278393.434254,192.168.10.51,104.27.32.64,b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,0,0,0.0,1,0.75,True,True,443,55518,ports_masked
FLOW_093269,1499260029.346414,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,47852,443,ports_masked
FLOW_1030126,1499282273.195036,192.168.10.12,151.101.0.84,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.005,1,0.755,True,True,443,55208,ports_masked
FLOW_491977,1499262871.244348,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.185,1,0.995,True,True,80,57594,ports_masked
FLOW_629057,1499263138.717749,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.23,1,0.99,True,True,80,52264,ports_masked
FLOW_906030,1499276326.946453,192.168.10.16,151.101.210.2,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.61,True,True,443,39592,ports_masked
FLOW_629640,1499263138.876837,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.0,1,0.985,True,True,80,52414,ports_masked
FLOW_104538,1499260517.939783,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.915,True,True,48097,443,ports_masked
FLOW_1001887,1499280349.015663,192.168.10.16,23.194.140.65,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.56,True,True,443,52144,ports_masked
FLOW_098036,1499260211.752813,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,0,0,0.015,1,0.565,True,True,53764,80,ports_masked
FLOW_716078,1499264280.745582,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.915,True,True,49595,443,ports_masked
FLOW_1020273,1499281739.922112,192.168.10.12,172.224.13.96,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.74,True,True,443,60870,ports_masked
FLOW_507012,1499262904.306478,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.205,1,0.89,True,True,80,38310,ports_masked
FLOW_117333,1499260831.243117,192.168.10.16,172.217.6.238,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.685,True,True,443,39282,ports_masked
FLOW_913712,1499276694.722674,192.168.10.16,52.45.240.184,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.745,True,True,443,48368,ports_masked
FLOW_102175,1499260433.393513,192.168.10.16,23.56.3.183,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.73,True,True,443,60394,ports_masked
FLOW_862705,1499274658.01412,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,52743,443,ports_masked
FLOW_1026344,1499282080.417819,192.168.10.51,23.208.68.246,b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,0,0,0.0,1,0.62,True,True,443,40694,ports_masked
FLOW_874586,1499275183.363453,192.168.10.19,93.184.216.180,00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,0,0,0.0,1,0.755,True,True,443,48148,ports_masked
FLOW_903926,1499276189.464316,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,53229,443,ports_masked
FLOW_776723,1499267946.520102,192.168.10.51,23.21.234.179,b8:ac:6f:36:0b:a8,00:c1:b1:14:eb:31,0,0,0.0,1,0.755,True,True,443,50812,ports_masked
FLOW_029336,1499256811.858652,192.168.10.19,173.241.242.143,00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,0,0,0.0,1,0.725,True,True,443,50577,ports_masked
FLOW_853393,1499274166.400877,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.915,True,True,52656,443,ports_masked
FLOW_082929,1499259658.657471,59.106.216.193,192.168.10.17,00:c1:b1:14:eb:31,00:23:ae:9b:95:67,0,0,0.0,1,0.53,True,True,44568,80,ports_masked
FLOW_115032,1499260763.468049,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.015,1,0.755,True,True,80,35498,ports_masked
FLOW_102450,1499260449.082382,5.134.215.153,192.168.10.25,00:c1:b1:14:eb:31,00:25:00:a8:c4:60,0,0,0.0,1,0.765,True,True,50500,443,ports_masked
FLOW_738976,1499265685.956027,192.168.10.17,104.97.73.5,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.61,True,True,443,37170,ports_masked
FLOW_117856,1499260860.263955,173.241.242.143,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.525,True,True,38619,443,ports_masked
FLOW_661585,1499263191.07426,31.13.80.9,192.168.10.14,00:c1:b1:14:eb:31,b8:ac:6f:36:07:ee,0,0,0.0,1,0.9,True,True,52341,443,ports_masked
FLOW_764045,1499266922.026468,174.35.73.202,192.168.10.19,00:c1:b1:14:eb:31,00:23:ae:9b:ad:b3,0,0,0.0,1,0.535,True,True,57182,80,ports_masked
FLOW_275209,1499262438.352614,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.27,1,0.915,True,True,80,40080,ports_masked
FLOW_146955,1499261915.144118,192.168.10.16,23.208.217.175,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.75,True,True,443,41700,ports_masked
FLOW_769313,1499267176.663796,192.168.10.3,192.168.10.5,18:66:da:9b:e3:7d,b8:ac:6f:36:0a:8b,0,0,0.0,1,0.81,True,True,51642,389,ports_masked
FLOW_691071,1499263641.966336,192.168.10.16,199.59.149.233,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.735,True,True,443,51490,ports_masked
FLOW_847073,1499273853.845369,192.168.10.17,31.13.69.228,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.745,True,True,443,59016,ports_masked
FLOW_859181,1499274557.193473,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,52721,443,ports_masked
FLOW_058088,1499258516.543422,192.168.10.12,216.58.219.233,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.73,True,True,443,57192,ports_masked
FLOW_835471,1499273221.490093,31.13.80.12,192.168.10.8,00:c1:b1:14:eb:31,b8:ac:6f:36:08:f5,0,0,0.0,1,0.88,True,True,54775,443,ports_masked
FLOW_116246,1499260805.101753,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,48222,443,ports_masked
FLOW_740732,1499265805.235739,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.915,True,True,50137,443,ports_masked
FLOW_879046,1499275420.29653,192.168.10.12,151.101.208.166,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.58,True,True,443,33264,ports_masked
FLOW_1071822,1499285196.701293,207.178.0.70,192.168.10.16,00:c1:b1:14:eb:31,00:23:ae:9b:8a:bf,0,0,0.005,1,0.525,True,True,56172,443,ports_masked
FLOW_072054,1499259211.150631,192.168.10.12,66.235.147.244,b8:ac:6f:36:04:e3,00:c1:b1:14:eb:31,0,0,0.0,1,0.69,True,True,443,51258,ports_masked
FLOW_773623,1499267590.195523,157.240.11.35,192.168.10.14,00:c1:b1:14:eb:31,b8:ac:6f:36:07:ee,0,0,0.0,1,0.88,True,True,53678,443,ports_masked
FLOW_890148,1499275860.351802,192.168.10.16,23.194.111.147,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.745,True,True,443,41502,ports_masked
FLOW_757046,1499266535.574024,192.168.10.17,104.24.10.90,00:23:ae:9b:95:67,00:c1:b1:14:eb:31,0,0,0.0,1,0.77,True,True,443,48189,ports_masked
FLOW_929628,1499277768.558911,192.168.10.16,172.217.7.14,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.77,True,True,443,56072,ports_masked
FLOW_530864,1499262940.908414,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,0,0,0.39,1,0.985,True,True,80,51868,ports_masked
FLOW_104516,1499260517.109756,172.16.0.1,192.168.10.51,00:c1:b1:14:eb:31,b8:ac:6f:36:0b:a8,0,0,0.0,1,0.91,True,True,48094,443,ports_masked
FLOW_1020132,1499281713.836439,192.168.10.16,172.217.12.174,00:23:ae:9b:8a:bf,00:c1:b1:14:eb:31,0,0,0.0,1,0.755,True,True,443,32924,ports_masked
