flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,attack_evasion,original_dst_port,original_src_port,scenario
FLOW_342788,1499262572.202826,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,0,0.345,True,True,80,51572,src_port_randomized
FLOW_361201,1499262605.456881,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,35648,src_port_randomized
FLOW_198768,1499262287.812827,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.99,1,0.99,False,False,80,50968,src_port_randomized
FLOW_479051,1499262839.200216,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.8,False,False,80,45262,src_port_randomized
FLOW_651970,1499263174.282763,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.78,False,False,80,37148,src_port_randomized
FLOW_472790,1499262836.895334,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.96,1,0.995,False,False,80,46554,src_port_randomized
FLOW_251349,1499262389.010997,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.575,False,False,80,53886,src_port_randomized
FLOW_522812,1499262937.783481,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.97,1,0.975,False,False,80,47154,src_port_randomized
FLOW_549419,1499262987.929052,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,0.995,1,0.86,False,False,80,35302,src_port_randomized
FLOW_513450,1499262906.509663,192.168.10.50,172.16.0.1,00:19:b9:0a:69:f1,00:c1:b1:14:eb:31,1,1,1.0,0,0.5,True,True,40678,80,src_port_randomized
FLOW_095511,1499260058.148996,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,1.0,False,False,80,60756,src_port_randomized
FLOW_581840,1499263040.133581,172.16.0.1,192.168.10.50,00:c1:b1:14:eb:31,00:19:b9:0a:69:f1,1,1,1.0,1,0.98,False,False,80,53010,src_port_randomized
