flow_id,timestamp,src_ip,dst_ip,src_mac,dst_mac,actual_label,baseline_prediction,baseline_attack_probability,perturbed_prediction,perturbed_attack_probability,prediction_changed,benign_induction,original_dst_port,original_src_port,scenario
FLOW_1039193,1499282860.610104,192.168.10.14,23.15.4.18,b8:ac:6f:36:07:ee,00:c1:b1:14:eb:31,0,0,0.0,0,0.0,False,False,443,57928,src_port_randomized
FLOW_820786,1499272328.057401,192.168.10.9,23.210.202.27,b8:ac:6f:1d:1f:6c,00:c1:b1:14:eb:31,0,0,0.0,0,0.005,False,False,80,18912,src_port_randomized
FLOW_114813,1499260744.4813,192.168.10.15,50.116.194.23,00:1e:4f:d4:ca:28,00:c1:b1:14:eb:31,0,0,0.0,0,0.0,False,False,443,52495,src_port_randomized
FLOW_021193,1499256336.017235,52.84.90.131,192.168.10.19,00:c1:b1:14:eb:31,00:23:ae:9b:ad:b3,0,0,0.0,0,0.02,False,False,50696,443,src_port_randomized
FLOW_1050226,1499283682.714396,192.168.10.3,192.168.10.1,18:66:da:9b:e3:7d,00:c1:b1:14:eb:31,0,0,0.0,0,0.0,False,False,53,60744,src_port_randomized
FLOW_849889,1499273982.234995,192.168.10.19,52.0.130.201,00:23:ae:9b:ad:b3,00:c1:b1:14:eb:31,0,0,0.0,0,0.015,False,False,443,35994,src_port_randomized
FLOW_968188,1499278707.271165,192.168.10.5,149.56.21.92,b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,0,0,0.0,0,0.0,False,False,443,59098,src_port_randomized
FLOW_1028482,1499282220.301722,192.168.10.12,192.168.10.3,b8:ac:6f:36:04:e3,18:66:da:9b:e3:7d,0,0,0.0,0,0.0,False,False,53,37574,src_port_randomized
FLOW_803344,1499271331.196993,192.168.10.5,52.206.94.71,b8:ac:6f:36:0a:8b,00:c1:b1:14:eb:31,0,0,0.0,0,0.0,False,False,80,52347,src_port_randomized
FLOW_1011852,1499281073.004507,192.168.10.5,192.168.10.3,b8:ac:6f:36:0a:8b,18:66:da:9b:e3:7d,0,0,0.0,0,0.0,False,False,53,49787,src_port_randomized
FLOW_812730,1499271811.33257,192.168.10.50,192.168.10.3,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,0,0,0.0,0,0.0,False,False,53,34458,src_port_randomized
FLOW_778760,1499268330.106112,192.168.10.50,192.168.10.3,00:19:b9:0a:69:f1,18:66:da:9b:e3:7d,0,0,0.0,0,0.0,False,False,53,29530,src_port_randomized
