rank,feature,mean_abs_shap
1,ttl_mean,0.1494128354224903
2,dst_port,0.06622847741669248
3,tcp_header_length_mean,0.04305239698062334
4,rst_count,0.03438929902278276
5,tcp_window_mean,0.03216471982955456
6,src_port,0.021315654441755368
7,frame_length_mean,0.02117345705931535
8,ip_total_length_mean,0.019106265560295637
9,flow_byte_count,0.014325333245776827
10,ip_protocol,0.013775015034362443
11,ack_count,0.013434196901915656
12,reverse_byte_count,0.01165876309164326
13,byte_rate,0.010872775229906073
14,iat_max,0.01039638906158379
15,forward_byte_count,0.009144162288298738
16,iat_mean,0.008049976494994676
17,ip_df,0.0078064931779834095
18,iat_std,0.006208880500817304
19,forward_packet_count,0.006179559298796829
20,iat_min,0.0059854173305380395
21,reverse_packet_count,0.005952215048122642
22,l4_checksum_valid,0.005461964317403975
23,flow_duration,0.005356683034995967
24,flow_packet_count,0.005124378485473721
25,ip_id_mean,0.0035338326040081428
26,fin_count,0.003313994338475375
27,flow_direction,0.0031968696601683767
28,ack_after_syn_ack,0.0026530017991415185
29,psh_count,0.0023409301162725265
30,syn_count,0.0019739523225087126
31,syn_seen,0.0018482603258039628
32,ip_dscp,0.0016475655730798203
33,syn_ack_seen,0.0008957536920612999
34,ip_ecn,1.0752670239133298e-06
35,vlan_priority,0.0
36,vlan_id,0.0
37,ip_version,0.0
38,eth_type,0.0
39,ip_mf,0.0
40,fragment_offset,0.0
41,ip_checksum_valid,0.0
42,ip_header_length,0.0
