,flow_id,timestamp,src_ip,dst_ip,src_port,dst_port,flow_packet_count,flow_duration,label,original_label,predicted_label,attack_probability
0,FLOW_106166,1499260542.355159,172.16.0.1,192.168.10.50,35078,80,13,236.58324694633484,1,DoS Slowhttptest,1,0.985
1,FLOW_016293,1499255940.951724,192.168.10.25,23.92.189.246,49622,443,19,0.648453950881958,0,BENIGN,0,0.0
2,FLOW_251101,1499262388.931995,172.16.0.1,192.168.10.50,51980,80,3,2.1457672119140625e-06,1,DoS Hulk,1,1.0
3,FLOW_525808,1499262938.849433,172.16.0.1,192.168.10.50,49088,80,6,0.0030469894409179,1,DoS Hulk,1,0.73
4,FLOW_602869,1499263088.743207,172.16.0.1,192.168.10.50,37060,80,2,0.000993013381958,1,DoS Hulk,1,1.0
5,FLOW_1000219,1499280182.605129,192.168.10.9,172.217.12.194,22676,443,213,185.8877780437469,0,BENIGN,0,0.0
6,FLOW_732843,1499265196.238004,192.168.10.5,192.168.10.3,60813,53,6,0.1012890338897705,0,BENIGN,0,0.0
7,FLOW_749998,1499266176.923972,192.168.10.3,192.168.10.1,60162,53,2,0.0608341693878173,0,BENIGN,0,0.0
8,FLOW_982727,1499279124.747152,192.168.10.50,192.168.10.16,22,56738,1,0.0,0,BENIGN,0,0.0
9,FLOW_987024,1499279313.014698,192.168.10.25,31.13.80.12,53199,443,1,0.0,0,BENIGN,0,0.0
10,FLOW_1044618,1499283274.045622,192.168.10.8,184.31.7.31,61915,443,1,0.0,0,BENIGN,0,0.0
11,FLOW_616559,1499263106.649657,172.16.0.1,192.168.10.50,45118,80,3,0.0010390281677246,1,DoS Hulk,1,0.99
12,FLOW_926897,1499277563.918422,192.168.10.8,172.217.12.174,60380,80,1,0.0,0,BENIGN,0,0.0
13,FLOW_520546,1499262922.422918,192.168.10.50,172.16.0.1,80,46206,2,0.012988805770874,1,DoS Hulk,1,1.0
14,FLOW_525280,1499262938.637525,192.168.10.50,172.16.0.1,80,48826,2,0.000931978225708,1,DoS Hulk,1,1.0
15,FLOW_631088,1499263139.337778,172.16.0.1,192.168.10.50,53222,80,5,0.001004934310913,1,DoS Hulk,1,1.0
16,FLOW_593987,1499263071.221695,172.16.0.1,192.168.10.50,60426,80,8,0.0033919811248779,1,DoS Hulk,1,0.995
17,FLOW_578733,1499263039.160675,192.168.10.50,172.16.0.1,80,51264,2,0.0119688510894775,1,DoS Hulk,1,1.0
18,FLOW_270016,1499262422.00512,192.168.10.50,172.16.0.1,80,36834,2,0.0129439830780029,1,DoS Hulk,1,1.0
19,FLOW_188711,1499262270.853325,172.16.0.1,192.168.10.50,44748,80,1,0.0,1,DoS Hulk,1,1.0
20,FLOW_1065533,1499284633.833598,192.168.10.12,157.240.2.25,50088,443,61,180.3812561035156,0,BENIGN,0,0.0
21,FLOW_848847,1499273960.572287,208.84.244.103,192.168.10.9,443,19476,1,0.0,0,BENIGN,0,0.0
22,FLOW_413782,1499262720.692588,172.16.0.1,192.168.10.50,37942,80,1,0.0,1,DoS Hulk,1,1.0
23,FLOW_484784,1499262855.48184,172.16.0.1,192.168.10.50,53280,80,1,0.0,1,DoS Hulk,1,1.0
24,FLOW_1021198,1499281801.923859,192.168.10.12,192.168.10.3,52332,53,4,0.1378850936889648,0,BENIGN,0,0.0
25,FLOW_587961,1499263055.916223,192.168.10.50,172.16.0.1,80,56538,2,0.008908987045288,1,DoS Hulk,1,1.0
26,FLOW_807082,1499271489.161884,192.168.10.3,192.168.10.1,61696,53,2,0.0480198860168457,0,BENIGN,0,0.0
27,FLOW_003449,1499255367.048444,192.168.10.15,192.168.10.3,49470,49666,2,4.887580871582031e-05,0,BENIGN,0,0.0
28,FLOW_1053988,1499283875.868808,192.168.10.8,23.54.187.27,62053,80,38,126.71612191200256,0,BENIGN,0,0.0
29,FLOW_894594,1499275917.316821,192.168.10.3,192.168.10.1,60343,53,4,62.83547592163086,0,BENIGN,0,0.0
30,FLOW_188356,1499262270.73133,172.16.0.1,192.168.10.50,44522,80,2,3.0994415283203125e-06,1,DoS Hulk,1,1.0
31,FLOW_725536,1499264529.309997,34.225.90.101,192.168.10.5,443,51505,2,2.86102294921875e-06,0,BENIGN,0,0.0
32,FLOW_713509,1499264212.541796,192.168.10.9,204.11.109.65,17094,443,1,0.0,0,BENIGN,0,0.0
33,FLOW_212310,1499262320.260936,172.16.0.1,192.168.10.50,59362,80,1,0.0,1,DoS Hulk,1,1.0
34,FLOW_742213,1499265842.021732,192.168.10.19,158.85.41.218,50988,80,1,0.0,0,BENIGN,0,0.0
35,FLOW_703695,1499263932.63638,172.16.0.1,192.168.10.50,34764,80,11,11.273972988128662,1,DoS GoldenEye,1,1.0
36,FLOW_707991,1499263998.020293,192.168.10.8,192.168.10.3,56819,53,4,0.000154972076416,0,BENIGN,0,0.0
37,FLOW_143465,1499261820.145427,192.168.10.12,192.229.173.67,46638,443,1,0.0,0,BENIGN,0,0.0
38,FLOW_494761,1499262872.091368,192.168.10.50,172.16.0.1,80,58922,2,0.0149641036987304,1,DoS Hulk,1,1.0
39,FLOW_904932,1499276253.402036,192.168.10.8,192.168.10.3,63344,53,4,0.0001709461212158,0,BENIGN,0,0.0
40,FLOW_549625,1499262987.991047,172.16.0.1,192.168.10.50,35364,80,1,0.0,1,DoS Hulk,1,1.0
41,FLOW_194464,1499262272.773258,172.16.0.1,192.168.10.50,46590,80,6,0.0014679431915283,1,DoS Hulk,1,1.0
42,FLOW_972631,1499278786.713562,162.208.22.34,192.168.10.5,443,59900,3,0.0007479190826416,0,BENIGN,0,0.0
43,FLOW_902743,1499276156.913673,192.168.10.8,54.221.239.60,58450,80,4,5.60076904296875,0,BENIGN,0,0.0
44,FLOW_378365,1499262639.018056,172.16.0.1,192.168.10.50,45538,80,1,0.0,1,DoS Hulk,1,1.0
45,FLOW_275499,1499262438.451564,172.16.0.1,192.168.10.50,40270,80,3,0.0009989738464355,1,DoS Hulk,1,1.0
46,FLOW_426903,1499262738.852073,172.16.0.1,192.168.10.50,47620,80,9,0.1345429420471191,1,DoS Hulk,1,0.985
47,FLOW_1012696,1499281165.802895,192.168.10.25,192.168.10.50,53385,33284,5,1.7881393432617188e-05,0,BENIGN,0,0.005
48,FLOW_070746,1499259159.226189,157.240.18.35,192.168.10.51,443,49951,3,4.0531158447265625e-06,0,BENIGN,0,0.0
49,FLOW_948115,1499278305.693747,162.208.20.178,192.168.10.5,443,55700,3,0.0010459423065185,0,BENIGN,0,0.0
50,FLOW_750760,1499266214.071638,192.168.10.5,192.168.10.50,51616,22,2,5.197525024414063e-05,0,BENIGN,0,0.0
51,FLOW_407962,1499262704.715069,172.16.0.1,192.168.10.50,36352,80,9,0.1528990268707275,1,DoS Hulk,1,0.995
52,FLOW_580282,1499263039.61365,192.168.10.12,52.22.127.145,51264,443,1,0.0,0,BENIGN,0,0.0
53,FLOW_302726,1499262489.042127,172.16.0.1,192.168.10.50,56814,80,3,4.8160552978515625e-05,1,DoS Hulk,1,1.0
54,FLOW_389530,1499262670.583994,172.16.0.1,192.168.10.50,53078,80,1,0.0,1,DoS Hulk,1,1.0
55,FLOW_221004,1499262336.538464,172.16.0.1,192.168.10.50,36010,80,8,0.0065059661865234,1,DoS Hulk,1,0.995
56,FLOW_416715,1499262721.604577,172.16.0.1,192.168.10.50,41220,80,6,0.0010058879852294,1,DoS Hulk,1,1.0
57,FLOW_134597,1499261456.893107,192.168.10.3,192.168.10.1,62361,53,2,0.0246751308441162,0,BENIGN,0,0.0
58,FLOW_685974,1499263260.384019,146.20.132.186,192.168.10.12,443,47696,2,0.0010550022125244,0,BENIGN,0,0.0
59,FLOW_670009,1499263207.426954,192.168.10.50,172.16.0.1,80,47756,8,0.1433548927307129,1,DoS Hulk,1,0.915
60,FLOW_973601,1499278802.892605,162.208.22.34,192.168.10.5,443,60094,2,4.601478576660156e-05,0,BENIGN,0,0.0
